iid,gender,wave,pid,match,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,dec,attr,sinc,intel,fun,amb,shar,like
1,0,1,11,0,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,1,6,9,7,7,6,5,7
1,0,1,12,0,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,1,7,8,7,8,5,6,7
1,0,1,13,1,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,1,5,8,9,8,5,7,7
1,0,1,14,1,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,1,7,6,8,7,6,8,7
1,0,1,15,1,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,1,5,6,7,7,6,6,6
1,0,1,16,0,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,0,4,9,7,4,6,4,6
1,0,1,17,0,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,1,7,6,7,4,6,7,6
1,0,1,18,0,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,0,4,9,7,6,5,6,6
1,0,1,19,1,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,1,7,6,8,9,8,8,7
1,0,1,20,0,15,20,20,15,15,15,,,,,,,35,20,15,20,5,5,1,5,6,6,8,10,8,6
2,0,1,11,0,45,5,25,20,0,5,,,,,,,65,0,10,25,0,0,0,5,7,8,4,6,3,6
2,0,1,12,0,45,5,25,20,0,5,,,,,,,65,0,10,25,0,0,0,8,5,6,6,9,6,7
2,0,1,13,0,45,5,25,20,0,5,,,,,,,65,0,10,25,0,0,0,5,8,9,6,3,4,6
2,0,1,14,1,45,5,25,20,0,5,,,,,,,65,0,10,25,0,0,1,7,9,7,6,5,7,7
2,0,1,15,0,45,5,25,20,0,5,,,,,,,65,0,10,25,0,0,0,6,8,7,9,7,8,8
2,0,1,16,0,45,5,25,20,0,5,,,,,,,65,0,10,25,0,0,0,8,7,8,3,6,2,6
2,0,1,17,0,45,5,25,20,0,5,,,,,,,65,0,10,25,0,0,1,7,5,9,6,7,9,8
2,0,1,18,0,45,5,25,20,0,5,,,,,,,65,0,10,25,0,0,0,5,8,7,5,9,5,5
2,0,1,19,1,45,5,25,20,0,5,,,,,,,65,0,10,25,0,0,1,7,6,8,9,4,5,5
2,0,1,20,0,45,5,25,20,0,5,,,,,,,65,0,10,25,0,0,1,6,7,8,7,9,8,8
3,0,1,11,0,35,10,35,10,10,0,,,,,,,50,0,20,30,0,0,0,7,9,10,7,8,9,8
3,0,1,12,0,35,10,35,10,10,0,,,,,,,50,0,20,30,0,0,0,9,7,9,8,9,7,8
3,0,1,13,0,35,10,35,10,10,0,,,,,,,50,0,20,30,0,0,0,7,9,9,7,9,7,8
3,0,1,14,0,35,10,35,10,10,0,,,,,,,50,0,20,30,0,0,0,9,7,9,7,9,7,8
3,0,1,15,0,35,10,35,10,10,0,,,,,,,50,0,20,30,0,0,0,9,10,10,10,10,10,9
3,0,1,16,0,35,10,35,10,10,0,,,,,,,50,0,20,30,0,0,0,8,10,10,7,9,9,8
3,0,1,17,0,35,10,35,10,10,0,,,,,,,50,0,20,30,0,0,0,8,9,10,7,7,9,8
3,0,1,18,0,35,10,35,10,10,0,,,,,,,50,0,20,30,0,0,0,7,9,9,8,9,7,8
3,0,1,19,0,35,10,35,10,10,0,,,,,,,50,0,20,30,0,0,0,9,9,9,9,9,9,9
3,0,1,20,0,35,10,35,10,10,0,,,,,,,50,0,20,30,0,0,0,8,7,9,7,9,7,8
4,0,1,11,0,20,20,20,20,10,10,,,,,,,30,10,15,30,5,10,0,4,10,8,5,8,7,6
4,0,1,12,0,20,20,20,20,10,10,,,,,,,30,10,15,30,5,10,0,8,7,8,10,7,8,8
4,0,1,13,0,20,20,20,20,10,10,,,,,,,30,10,15,30,5,10,0,4,7,8,8,6,7,4
4,0,1,14,1,20,20,20,20,10,10,,,,,,,30,10,15,30,5,10,1,8,10,7,10,7,10,8
4,0,1,15,0,20,20,20,20,10,10,,,,,,,30,10,15,30,5,10,0,6,9,8,9,8,9,7
4,0,1,16,0,20,20,20,20,10,10,,,,,,,30,10,15,30,5,10,0,5,10,8,4,8,2,4
4,0,1,17,0,20,20,20,20,10,10,,,,,,,30,10,15,30,5,10,0,7,10,10,7,10,5,5
4,0,1,18,0,20,20,20,20,10,10,,,,,,,30,10,15,30,5,10,0,5,9,9,5,9,7,6
4,0,1,19,1,20,20,20,20,10,10,,,,,,,30,10,15,30,5,10,1,9,8,10,10,7,8,8
4,0,1,20,0,20,20,20,20,10,10,,,,,,,30,10,15,30,5,10,1,8,9,10,10,8,8,10
5,0,1,11,0,20,5,25,25,10,15,,,,,,,50,10,10,20,5,5,0,5,8,8,2,2,2,7
5,0,1,12,0,20,5,25,25,10,15,,,,,,,50,10,10,20,5,5,0,8,6,6,5,5,5,6
