,women,men
attr1_1,18.020372,27.2488
sinc1_1,18.22223,16.3796
intel1_1,20.971004,19.387418
fun1_1,17.299108,17.536836
amb1_1,12.818476,8.759782
shar1_1,12.650632,10.9024
,99.981822,100.214836
attr2_1,35.600632,25.012218
sinc2_1,11.284535,15.126255
intel2_1,12.478439,16.331164
fun2_1,19.051636,18.015164
amb2_1,9.114387,14.305273
shar2_1,12.626766,11.123745
,100.156395,99.913819
attr4_1,29.50641,34.48125
sinc4_1,12.615385,12.075
intel4_1,14.846154,13.8625
fun4_1,17.301282,18.75625
amb4_1,13.314103,8.41875
shar4_1,12.397436,12.175
,99.98077,99.76875
